timestamp,court,date,case_number,filename,status
2025-07-23T20:24:01.670930,COA06,2025-06-25,06-24-00193-CR,06-24-00193-CR_mem.pdf,downloaded
2025-07-23T20:24:07.076007,COA12,2025-06-25,12-24-00323-CR,12-24-00323-CR_mem.pdf,downloaded
2025-07-23T20:24:07.242836,COA12,2025-06-25,12-24-00359-CR,12-24-00359-CR_mem.pdf,downloaded
2025-07-23T20:24:07.411018,COA12,2025-06-25,12-25-00029-CR,12-25-00029-CR_mem.pdf,downloaded
2025-07-23T20:24:11.582682,COA01,2025-06-26,01-23-00503-CR,01-23-00503-CR_mem.pdf,downloaded
2025-07-23T20:24:11.714922,COA01,2025-06-26,01-23-00848-CR,01-23-00848-CR_mem.pdf,downloaded
2025-07-23T20:24:11.844242,COA01,2025-06-26,01-23-00922-CR,01-23-00922-CR_mem.pdf,downloaded
2025-07-23T20:24:11.971936,COA01,2025-06-26,01-24-00906-CR,01-24-00906-CR_mem.pdf,downloaded
2025-07-23T20:24:12.750704,COA02,2025-06-26,02-24-00055-CR,02-24-00055-CR_mem.pdf,downloaded
2025-07-23T20:24:12.870745,COA02,2025-06-26,02-24-00291-CR,02-24-00291-CR_mem.pdf,downloaded
2025-07-23T20:24:12.983398,COA02,2025-06-26,02-25-00127-CR,02-25-00127-CR_mem.pdf,downloaded
2025-07-23T20:24:13.149594,COA02,2025-06-26,02-25-00129-CR,02-25-00129-CR_mem.pdf,downloaded
2025-07-23T20:24:13.562468,COA02,2025-06-26,02-25-00151-CR,02-25-00151-CR_mem.pdf,downloaded
2025-07-23T20:24:13.674372,COA02,2025-06-26,02-25-00186-CR,02-25-00186-CR_mem.pdf,downloaded
2025-07-23T20:24:15.908479,COA05,2025-06-26,05-24-00169-CR,05-24-00169-CR_mem.pdf,downloaded
2025-07-23T20:24:17.183555,COA07,2025-06-26,07-24-00329-CR,07-24-00329-CR_mem.pdf,downloaded
2025-07-23T20:24:20.592342,COA10,2025-06-26,10-24-00041-CR,10-24-00041-CR_mem.pdf,downloaded
2025-07-23T20:24:21.163599,COA11,2025-06-26,11-23-00133-CR,11-23-00133-CR_mem.pdf,downloaded
2025-07-23T20:24:22.754070,COA13,2025-06-26,13-24-00376-CR,13-24-00376-CR_mem.pdf,downloaded
2025-07-23T20:24:22.892537,COA13,2025-06-26,13-24-00542-CR,13-24-00542-CR_mem.pdf,downloaded
2025-07-23T20:24:23.007853,COA13,2025-06-26,13-24-00622-CR,13-24-00622-CR_mem.pdf,downloaded
2025-07-23T20:24:23.102940,COA13,2025-06-26,13-25-00269-CR,13-25-00269-CR_mem.pdf,downloaded
2025-07-23T20:24:25.804293,COA14,2025-06-26,14-23-00912-CR,14-23-00912-CR_mem.pdf,downloaded
2025-07-23T20:24:26.000785,COA14,2025-06-26,14-24-00421-CR,14-24-00421-CR_mem.pdf,downloaded
2025-07-23T20:24:26.122090,COA14,2025-06-26,14-25-00406-CR,14-25-00406-CR_mem.pdf,downloaded
2025-07-23T20:24:28.316105,COA03,2025-06-27,03-23-00368-CR,03-23-00368-CR_op.pdf,downloaded
2025-07-23T20:24:28.469863,COA03,2025-06-27,03-24-00445-CR,03-24-00445-CR_mem.pdf,downloaded
2025-07-23T20:24:37.334352,COA04,2025-06-30,04-22-00619-CR,04-22-00619-CR_con_martinez.pdf,downloaded
2025-07-23T20:24:37.519330,COA04,2025-06-30,04-22-00619-CR,04-22-00619-CR_dis_meza.pdf,downloaded
2025-07-23T20:24:39.388775,COA06,2025-06-30,06-24-00152-CR,06-24-00152-CR_mem.pdf,downloaded
2025-07-23T20:24:44.545667,COA01,2025-07-01,01-24-00917-CR,01-24-00917-CR_mem.pdf,downloaded
2025-07-23T20:24:47.161388,COA05,2025-07-01,05-25-00722-CR,05-25-00722-CR_mem.pdf,downloaded
2025-07-23T20:24:49.442107,COA07,2025-07-01,07-24-00380-CR,07-24-00380-CR_mem.pdf,downloaded
2025-07-23T20:24:49.967373,COA07,2025-07-01,07-24-00382-CR,07-24-00382-CR_mem.pdf,downloaded
2025-07-23T20:24:53.801729,COA14,2025-07-01,14-23-00735-CR,14-23-00735-CR_mem.pdf,downloaded
2025-07-23T20:24:53.975996,COA14,2025-07-01,14-23-00806-CR,14-23-00806-CR_mem.pdf,downloaded
2025-07-23T20:24:57.801095,COA04,2025-07-02,04-24-00315-CR,04-24-00315-CR_mem.pdf,downloaded
2025-07-23T20:24:57.921947,COA04,2025-07-02,04-25-00264-CR,04-25-00264-CR_mem.pdf,downloaded
2025-07-23T20:24:59.261485,COA05,2025-07-02,05-25-00523-CR,05-25-00523-CR_mem.pdf,downloaded
2025-07-23T20:24:59.796335,COA06,2025-07-02,06-24-00173-CR,06-24-00173-CR_mem.pdf,downloaded
2025-07-23T20:25:00.309575,COA07,2025-07-02,07-24-00262-CR,07-24-00262-CR_mem.pdf,downloaded
2025-07-23T20:25:00.417426,COA07,2025-07-02,07-24-00290-CR,07-24-00290-CR_mem.pdf,downloaded
2025-07-23T20:25:01.487836,COA09,2025-07-02,09-23-00246-CR,09-23-00246-CR_mem.pdf,downloaded
2025-07-23T20:25:06.342289,COA01,2025-07-03,01-25-00206-CR,01-25-00206-CR_mem.pdf,downloaded
